class,id
cytotoxic chemo,93866
cytotoxic chemo,40890437
cytotoxic chemo,182782
cytotoxic chemo,11576
cytotoxic chemo,20797
cytotoxic chemo,6879
cytotoxic chemo,70369
cytotoxic chemo,11577
cytotoxic chemo,34496
cytotoxic chemo,6880
cytotoxic chemo,70360
cytotoxic chemo,70368
cytotoxic chemo,11578
cytotoxic chemo,16005
cytotoxic chemo,191922
cytotoxic chemo,87799
cytotoxic chemo,106392
cytotoxic chemo,11579
cytotoxic chemo,11580
cytotoxic chemo,11581
cytotoxic chemo,142723
cytotoxic chemo,145548
cytotoxic chemo,145549
cytotoxic chemo,145552
cytotoxic chemo,145553
cytotoxic chemo,145555
cytotoxic chemo,148272
cytotoxic chemo,171723
cytotoxic chemo,176663
cytotoxic chemo,177585
cytotoxic chemo,177586
cytotoxic chemo,19468
cytotoxic chemo,19552
cytotoxic chemo,195832
cytotoxic chemo,199463
cytotoxic chemo,199464
cytotoxic chemo,199494
cytotoxic chemo,199496
cytotoxic chemo,199503
cytotoxic chemo,199504
cytotoxic chemo,199506
cytotoxic chemo,199814
cytotoxic chemo,29010
cytotoxic chemo,32373
cytotoxic chemo,32374
cytotoxic chemo,32962
cytotoxic chemo,32977
cytotoxic chemo,34495
cytotoxic chemo,6881
cytotoxic chemo,6882
cytotoxic chemo,6883
cytotoxic chemo,70363
cytotoxic chemo,70366
cytotoxic chemo,77305
cytotoxic chemo,77306
cytotoxic chemo,77789
cytotoxic chemo,77920
cytotoxic chemo,89182
cytotoxic chemo,142721
cytotoxic chemo,142722
cytotoxic chemo,24730
cytotoxic chemo,145568
cytotoxic chemo,145546
cytotoxic chemo,145547
cytotoxic chemo,147418
cytotoxic chemo,129344
cytotoxic chemo,151382
cytotoxic chemo,24425
cytotoxic chemo,1332073001
cytotoxic chemo,40890374
cytotoxic chemo,8594
cytotoxic chemo,146646
cytotoxic chemo,116067
cytotoxic chemo,40890045
cytotoxic chemo,40890283
cytotoxic chemo,109606
cytotoxic chemo,146648
cytotoxic chemo,400231
cytotoxic chemo,8597
cytotoxic chemo,40890148
cytotoxic chemo,40890371
cytotoxic chemo,40890372
cytotoxic chemo,40890373
cytotoxic chemo,14203
cytotoxic chemo,400232
cytotoxic chemo,138549
immunotherapy,40890419
immunotherapy,186091
immunotherapy,186092
immunotherapy,40890497
immunotherapy,40890652
immunotherapy,195875
immunotherapy,40890561
immunotherapy,189992
immunotherapy,34034
immunotherapy,140464
immunotherapy,153809
immunotherapy,153810
immunotherapy,154001
immunotherapy,154002
immunotherapy,154006
immunotherapy,154007
immunotherapy,34020
immunotherapy,37834
immunotherapy,37835
immunotherapy,140462
immunotherapy,107208
immunotherapy,135176
immunotherapy,107167
immunotherapy,29586
immunotherapy,29587
immunotherapy,10300
immunotherapy,10299
immunotherapy,14633
immunotherapy,40890154
immunotherapy,40890353
immunotherapy,40890523
immunotherapy,10304
immunotherapy,40890309
immunotherapy,140465
immunotherapy,140467
immunotherapy,29589
immunotherapy,38141
immunotherapy,38142
immunotherapy,207054
immunotherapy,40820556
immunotherapy,10301
immunotherapy,19898
immunotherapy,19916
immunotherapy,25273
immunotherapy,77927
immunotherapy,135178
immunotherapy,135179
immunotherapy,40890100
immunotherapy,40890101
immunotherapy,40890102
immunotherapy,40890448
immunotherapy,40890449
immunotherapy,40890451
immunotherapy,40890491
immunotherapy,149486
immunotherapy,149487
immunotherapy,150540
immunotherapy,151350
immunotherapy,40890452
immunotherapy,151435
immunotherapy,40890366
immunotherapy,178014
immunotherapy,179549
immunotherapy,179553
immunotherapy,40890555
immunotherapy,117423
immunotherapy,151094
immunotherapy,182966
immunotherapy,182967
hormone therapy,151817
hormone therapy,151818
hormone therapy,189963
hormone therapy,151969
hormone therapy,194539
hormone therapy,152108
hormone therapy,16205
hormone therapy,16201
hormone therapy,126064
hormone therapy,9000002916200730
hormone therapy,125762
hormone therapy,125763
hormone therapy,193619
hormone therapy,15746
hormone therapy,15745
hormone therapy,128454
hormone therapy,127247
hormone therapy,96986
hormone therapy,96987
hormone therapy,130532
hormone therapy,132921
hormone therapy,131074
hormone therapy,21893
hormone therapy,163076
hormone therapy,204782
hormone therapy,163334
hormone therapy,204781
hormone therapy,204823
hormone therapy,204825
hormone therapy,163393
hormone therapy,132318
hormone therapy,26551
hormone therapy,9000002700100730
hormone therapy,132497
hormone therapy,27024
hormone therapy,126077
hormone therapy,10081
hormone therapy,133190
hormone therapy,32767
hormone therapy,132659
hormone therapy,133444
hormone therapy,10137
hormone therapy,8900
hormone therapy,16254
hormone therapy,16280
hormone therapy,134030
hormone therapy,147567
hormone therapy,21509
hormone therapy,21571
hormone therapy,132710
hormone therapy,136186
hormone therapy,167222
hormone therapy,152310
hormone therapy,10390
hormone therapy,4631
